Well,IdxRow,IdxCol,FSC-A,FSC-W,FSC-H,SSC-A,SSC-W,SSC-H,PE-A,APC-Cy7-A,PE-Cy5-A,Time,nbrCell
E10,E,10,105198.890625,106881.96875,64504,67319.1953125,113578.1796875,38844,210.21182567632,859.350036621094,762.960021972656,15167.900390625,1
E11,E,11,105796.078125,107660.625,64401,81346.71875,117583.9453125,45339,168.903500996773,448.800018310547,628.320007324219,15369.2998046875,1
E12,E,12,113926.2265625,115768.6796875,64493,72207.1953125,120160.7578125,39382,126.672283902935,379.100006103516,164.559997558594,15569.2998046875,1
E13,E,13,97479.921875,112522.1328125,56775,89668.796875,117111.421875,50179,267.470452872867,393.550018310547,90.6399993896484,15801.400390625,1
E14,E,14,100563.765625,111857.7578125,58919,74394.3203125,125650.90625,38802,168.872474037932,695.300048828125,443.519989013672,15993,1
E17,E,17,99777.8984375,103323.6640625,63287,56249.4375,105984.796875,34782,1636.78432137105,124.950004577637,447.040008544922,51547.80078125,1
E18,E,18,96119.109375,96076.5859375,65565,44735.59765625,104751.75,27988,1733.59505406865,39.1000022888184,455.839996337891,57401.8984375,1
E19,E,19,89283.015625,94141.1953125,62154,48750,97099.96875,32903,121.41946045587,163.200012207031,158.399993896484,57599.1015625,1
E20,E,20,103922.625,101976.03125,66787,52637.51953125,109910.546875,31386,1340.23485473799,40.8000030517578,198,57831.8984375,1
E21,E,21,105729.328125,104237.4140625,66474,58765.19921875,105067.1484375,36655,4633.04377665428,1242.70007324219,1629.76000976562,57992.1015625,1
E22,E,22,110315.5,105231.828125,68702,42576.55859375,101439.5390625,27507,5240.32073011375,629,1124.64001464844,58282,1
E23,E,23,112976.6015625,117195.09375,63177,58674.71875,119426.875,32198,5352.01818117428,1127.95007324219,1120.23999023438,58685.6015625,1
E24,E,24,130804.1875,128768.6015625,66572,75290.796875,124782.0859375,39543,6368.49062240518,551.650024414062,1424.71997070312,58940.6015625,1
F01,F,01,95853.890625,101745.6875,61741,63613.67578125,104554,39874,248.146736963917,105.400001525879,177.759994506836,18903,1
F02,F,02,86883.578125,96260.515625,59152,41609.359375,97295.8671875,28027,596.626426981361,107.950004577637,188.31999206543,18672.19921875,1
F03,F,03,88853.1484375,94900.265625,61360,56253.59765625,104508.328125,35276,133.748439640452,91.8000030517578,168.080001831055,18482.69921875,1
F04,F,04,95942.890625,102385.75,61412,71001.8359375,114059.6171875,40796,187.421921214754,143.650009155273,239.360000610352,18296.400390625,1
F05,F,05,92521.7265625,100553.9609375,60301,37035.4375,101955.578125,23806,5509.47486292768,1631.15002441406,1305.0400390625,18146.400390625,1
F06,F,06,116235.78125,124866.8671875,61006,44520.3203125,121377.96875,24038,7074.25851923295,487.050018310547,1691.35998535156,17916,1
F07,F,07,98668.9609375,117557.5234375,55006,59320.55859375,107992.7890625,35999,5624.9011167125,467.5,1074.47998046875,17709.80078125,1
F08,F,08,131625.65625,126794.625,68033,39355.6796875,133161.953125,19369,4488.73469805178,1153.45007324219,989.119995117188,17477.099609375,1
F09,F,09,111711.90625,115020.2109375,63651,48129.1171875,99494.984375,31702,8377.40734923428,1527.45007324219,1704.55993652344,17201.5,1
F10,F,10,107927.625,103708.7578125,68202,63662.55859375,112682.703125,37026,269.238379860724,330.650024414062,259.600006103516,17034.19921875,1
F11,F,11,104356.0546875,121473.4765625,56301,68395.59375,124544.96875,35990,294.726913966005,580.549987792969,622.159973144531,16803.80078125,1
F12,F,12,119804.6796875,119179.109375,65880,46998.63671875,117588.1015625,26194,307.076985336651,341.700012207031,-55.439998626709,16601.19921875,1
F13,F,13,102073.2109375,112205.546875,59618,97430.3203125,111545.40625,57243,122.279878632324,318.75,242.880004882812,16415.30078125,1
F14,F,14,99699.578125,109357.828125,59748,60474.95703125,114668.484375,34563,236.671641965167,384.200012207031,110,16222,1
F17,F,17,113631.640625,116714.4140625,63805,74715.6796875,141797.9375,34532,5796.46120029268,785.400024414062,1121.11999511719,51377.5,1
F18,F,18,93400.15625,103555.6796875,59109,65811.1953125,112423.171875,38364,275.39699266087,341.700012207031,198,60542.3984375,1
F19,F,19,101080.859375,104210.21875,63568,82109.0390625,115466.7734375,46603,193.518480102979,647.700012207031,543.840026855469,60354.3984375,1
F20,F,20,134570.671875,117542.6328125,75030,87214.3984375,124834.71875,45786,276.261270085646,466.650024414062,891.440002441406,60158.80078125,1
F21,F,21,98748.171875,116819.390625,55398,83453.7578125,124354.2734375,43981,150.439339717539,323,671.440002441406,59976.8984375,1
F22,F,22,99303.53125,102037.5703125,63780,77317.7578125,122337.4921875,41419,192.59225575463,1014.90002441406,594.880004882812,59772.69921875,1
G01,G,01,94925.6171875,116218.2265625,53529,83688.796875,113631.0390625,48267,4915.66134562848,149.600006103516,1343.76000976562,19093.400390625,1
G02,G,02,94507.3203125,104733.625,59137,68512.078125,108034.1640625,41561,894.059689084844,161.5,230.559997558594,19324.69921875,1
G03,G,03,95221.9921875,97311.1796875,64129,36032.87890625,102019.734375,23147,2384.79320149993,54.4000015258789,416.239990234375,19514.599609375,1
G04,G,04,84730.671875,102421.96875,54216,30631.119140625,106427.7890625,18862,2766.71173251105,65.4500045776367,704,19703.5,1
G05,G,05,139212.90625,130357.453125,69988,63542.95703125,127393.046875,32689,5673.19467149018,1312.40002441406,1495.11999511719,19944.099609375,1
G06,G,06,103673.4296875,107058.2109375,63464,29755.439453125,110930.8046875,17579,6816.41525182125,514.25,1382.47998046875,20231.30078125,1
G07,G,07,125816.625,120428.796875,68468,46286.23828125,130576.1640625,23231,7105.75863167571,1917.60009765625,1469.59997558594,20428.19921875,1
G08,G,08,103846.9765625,105821.7734375,64313,29810.55859375,112681.09375,17338,3497.9320616675,539.75,968,20700.5,1
G09,G,09,96332.7109375,99969.296875,63152,29502.71875,106669.4375,18126,4615.54103945071,469.200012207031,1196.80004882812,20974,1
G10,G,10,110624.328125,120289.96875,60270,77338.5546875,121226.015625,41810,186.499869458057,477.700012207031,-71.2799987792969,21145.099609375,1
G11,G,11,108147.4609375,105240.875,67346,69743.4375,123649.5546875,36965,223.455917558888,509.150024414062,293.920013427734,21379.599609375,1
G12,G,12,96894.296875,106287.921875,59744,64044.23828125,109205.4765625,38434,239.316990829815,341.700012207031,564.960021972656,21612.400390625,1
G13,G,13,101953.0546875,118701.6171875,56289,72783.359375,121477.3671875,39266,88.8352756401132,355.300018310547,348.480010986328,21826.599609375,1
