FSC-A,FSC-W,FSC-H,SSC-A,SSC-W,SSC-H,PE-A,APC-Cy7-A,PE-Cy5-A,Time,IdxRow,IdxCol,Well
100424.9296875,110597.703125,59508,92614.078125,120825.65625,50234,74.7536765959531,368.050018310547,211.199996948242,39237.1015625,M,11,M11
101725.21875,116807.3671875,57074,97316.953125,108789.15625,58625,199.683069053263,611.150024414062,440,39482.30078125,M,12,M12
103339.6796875,101178.28125,66936,40945.83984375,108412.515625,24752,96.7595610184531,321.300018310547,210.31999206543,39682.3984375,M,13,M13
112292.1875,119735.46875,61462,95389.8359375,107804.375,57989,246.326706088984,582.25,614.239990234375,39910.1015625,M,14,M14
96155.6015625,101137.15625,62308,75974.078125,112949.4375,44082,138.104690089073,439.450012207031,564.960021972656,40097.6015625,N,14,N14
94770.7578125,99669.375,62315,61793.67578125,109115.4296875,37114,190.027362995518,418.200012207031,483.119995117188,40331.69921875,N,13,N13
104045.4453125,110296.046875,61822,82696.640625,115796.140625,46803,208.510354427521,394.400024414062,454.959991455078,40540.6015625,N,12,N12
106860.515625,107384.859375,65216,66616.15625,114698.1796875,38063,142.520304453326,315.350006103516,600.159973144531,40753,N,11,N11
101493.8203125,105059.0546875,63312,77333.359375,111841.9765625,45315,150.436237018966,347.650024414062,320.320007324219,40962.19921875,N,10,N10
125380.53125,116565.546875,70492,38768.078125,112664.8359375,22551,6497.81571409893,827.900024414062,1302.40002441406,41130.6015625,N,09,N09
97454.109375,98191.265625,65044,33246.71875,108752.5234375,20035,4603.22061996045,470.050018310547,1189.76000976562,41323.69921875,N,08,N08
101371.890625,103455.65625,64216,43129.83984375,93399.765625,30263,3893.67111425856,2612.90014648438,824.559997558594,41527.1015625,N,07,N07
103134.9765625,114560.2421875,59000,34039.19921875,112456.15625,19837,7210.66291513723,451.350006103516,1664.07995605469,41972.30078125,N,06,N06
119968.4375,117599.7890625,66856,69373.1953125,117279.1015625,38766,6692.33827639098,489.600006103516,1349.0400390625,42296.5,N,05,N05
133234.78125,123711.3984375,70581,45720.4765625,119824.734375,25006,2653.17566455384,192.950012207031,616,42509.6015625,N,04,N04
91404.78125,94705.3671875,63252,49910.63671875,93971.03125,34808,263.113896715591,48.4500007629395,263.119995117188,42738.8984375,N,03,N03
105044.921875,110625.5,62230,51578.796875,100141.25,33755,109.9780671525,174.25,-174.240005493164,42929.5,N,02,N02
92114.109375,116928.6171875,51628,37994.3203125,120680.25,20633,1677.2669765773,103.700004577637,512.159973144531,43119.1015625,N,01,N01
96459.0859375,106521.9140625,59345,62038.078125,115931.7734375,35070,120.54737279721,100.300003051758,51.0400009155273,43310.6015625,O,01,O01
95593.1171875,100254.2890625,62489,58425.1171875,106918.0390625,35812,689.912493645156,59.5,562.320007324219,43539.69921875,O,02,O02
113052.25,107064.8203125,69201,70843.7578125,112427.7578125,41296,2073.25927333272,164.900009155273,617.760009765625,43729.69921875,O,03,O03
81623.6796875,91797.046875,58273,37303.7578125,91700.640625,26660,2726.22351385022,130.900009155273,871.200012207031,43897.3984375,O,04,O04
132654.5,130165.8359375,66789,56240.078125,109065.2109375,33794,4013.5332490392,1165.34997558594,1129.92004394531,44064.19921875,O,05,O05
100037.78125,105879.7734375,61920,56599.91796875,109655.9609375,33827,3773.37724555848,498.100006103516,1211.76000976562,44248.80078125,O,06,O06
114116.6875,112743.859375,66334,57351.83984375,103357.90625,36365,5839.57211638625,858.5,1640.31994628906,44470.8984375,O,07,O07
123586.2890625,119719.0234375,67653,57189.59765625,113930.671875,32897,5235.73049343106,2141.15014648438,1208.23999023438,44670.19921875,O,08,O08
92687.265625,99759.453125,60890,30667.51953125,101949.203125,19714,4480.89908390893,483.650024414062,953.039978027344,44992.1015625,O,09,O09
101789.296875,110931.46875,60135,67473.1171875,120481.671875,36702,66.682601625918,1568.25,555.279968261719,45191.30078125,O,10,O10
113261.3984375,112240.6640625,66132,95501.1171875,120240.5546875,52052,166.27773121293,335.75,100.319999694824,45434.1015625,O,11,O11
117619.7265625,117138.9140625,65805,74075.0390625,122432.765625,39651,61.5588075166211,327.25,40.4799995422363,45636.80078125,O,12,O12
105981.1953125,103407.6796875,67167,46905.0390625,110630.1328125,27786,181.202645372333,614.549987792969,178.639999389648,45866.5,O,13,O13
100796.0546875,118791.7265625,55608,81619.1953125,114517.4453125,46709,193.557959227711,334.050018310547,374.880004882812,46058.19921875,O,14,O14
86754.53125,93118.65625,61057,29791.83984375,96112.9296875,20314,74.7321717056848,538.900024414062,183.039993286133,46247.5,P,14,P14
109718.3046875,104015.6640625,69129,54440.87890625,113763.0703125,31362,159.237951903492,334.050018310547,221.759994506836,46438.30078125,P,13,P13
91880.9296875,100403.6640625,59973,77179.4375,109580.828125,46158,292.994858974385,358.700012207031,60.7200012207031,46668.6015625,P,12,P12
104306.21875,114895.328125,59496,90472.71875,118501.4609375,50035,98.4607112964478,788.800048828125,264,46863.1015625,P,11,P11
110474.8046875,113666.109375,63696,70995.59375,119614.5703125,38898,169.780510175122,472.600006103516,220.880004882812,47047.3984375,P,10,P10
98225.7421875,99165.4140625,64915,38333.359375,99881.3203125,25152,6410.7195625625,637.5,1480.16003417969,47199.3984375,P,09,P09
115986.578125,121991.59375,62310,57270.71875,114401.7890625,32808,4950.80456220143,598.400024414062,1399.19995117188,47404.80078125,P,08,P08
99697.796875,112372.640625,58144,54672.796875,109135.78125,32831,4024.86053048044,2060.40014648438,1327.92004394531,47719.6015625,P,07,P07
98695.65625,99555.46875,64970,41254.71875,101603.5,26610,3201.69685452188,4951.25,881.760009765625,47927.3984375,P,06,P06
95940.21875,100611.875,62493,32753.759765625,103448.2109375,20750,4032.09817916634,490.450012207031,1013.76000976562,48151.30078125,P,05,P05
98118.9375,112749.3828125,57032,75699.515625,116314.4453125,42652,386.317546565575,19.5500011444092,309.760009765625,48359.8984375,P,04,P04
76437.6484375,85994.15625,58253,36549.7578125,86539.4296875,27679,106.476358084347,28.9000015258789,119.680000305176,48539,P,03,P03
92468.328125,107477.3828125,56384,74197.7578125,112274.8671875,43310,227.027689493633,97.75,283.359985351562,48738.80078125,P,02,P02
88180.3046875,100015.3125,57781,42153.27734375,99540.8515625,27753,410.956460801434,28.0500011444092,212.959991455078,48971.30078125,P,01,P01
124993.375,119084.2421875,68788,65978.640625,125569.21875,34435,6234.58743053,1687.25,1492.47998046875,49342.1015625,P,17,P17
94821.4921875,107075.2890625,58036,42237.51953125,110181.03125,25123,5794.78386325181,126.650001525879,1317.35998535156,49500.80078125,O,17,O17
92054.4765625,105181.2734375,57357,37274.63671875,104238.5546875,23435,3171.37868640482,1122.84997558594,796.400024414062,49837.1015625,N,17,N17
89327.515625,94945.7890625,61658,38964.63671875,99041.484375,25783,823.666511998013,107.100006103516,201.520004272461,50010.6015625,M,17,M17
130816.6484375,128306.7421875,66818,68642.078125,137288.34375,32767,8405.62752660607,1050.59997558594,1635.0400390625,50247.6015625,L,17,L17
83249.7109375,114597.09375,47609,65532.4765625,116256.1953125,36942,1696.62407321275,126.650001525879,457.600006103516,50433.69921875,K,17,K17
107016.265625,113419.6640625,61836,48947.59765625,111155.2734375,28859,4147.38922838018,402.900024414062,746.239990234375,50663.69921875,J,17,J17
104349.828125,113924.6796875,60028,35698,107090.734375,21846,3893.68192021035,2527.05004882812,1236.40002441406,51029,H,17,H17
109728.1015625,110530.90625,65060,53098.23828125,116847.859375,29781,4968.46649979098,107.100006103516,1479.28002929688,51219,G,17,G17
113631.640625,116714.4140625,63805,74715.6796875,141797.9375,34532,5796.46120029268,785.400024414062,1121.11999511719,51377.5,F,17,F17
99777.8984375,103323.6640625,63287,56249.4375,105984.796875,34782,1636.78432137105,124.950004577637,447.040008544922,51547.80078125,E,17,E17
98409.078125,98630.3046875,65389,34954.3984375,95984.7265625,23866,7631.23629040875,981.75,1519.76000976562,51703.30078125,D,17,D17
117310.0078125,115143.6875,66769,81615.0390625,112384.6640625,47593,1851.50504100125,119,456.720001220703,51878.80078125,C,17,C17
118767.828125,119429.3515625,65173,72169.7578125,127060.96875,37224,2992.59681989704,9241.2001953125,1446.71997070312,52115.8984375,B,17,B17
103065.5546875,99330.953125,68000,45474,101803.109375,29274,1832.1510470615,71.4000015258789,174.240005493164,52279.19921875,A,17,A17
111872.109375,104406.75,70222,69329.515625,117302.0859375,38734,921.357738572014,17.8500003814697,482.239990234375,52463,A,18,A18
79458.3125,91368.7734375,56993,38172.16015625,100710.578125,24840,420.634634655859,42.5,14.0799999237061,52651.80078125,A,19,A19
96222.3515625,108459.0859375,58142,53186.63671875,114482.1953125,30447,414.457543191328,178.5,177.759994506836,52882.1015625,A,20,A20
91283.7421875,109203.234375,54782,61427.59765625,107931.015625,37299,5456.68901354143,1516.40002441406,1244.31994628906,53123.8984375,A,21,A21
101351.421875,103219.3828125,64350,38539.27734375,106817.9375,23645,3959.7897656325,1670.25,1026.07995605469,53321.3984375,A,22,A22
128516,118829.890625,70878,41928.63671875,118242.3984375,23239,9093.868566915,408,1719.52001953125,53583.80078125,A,23,A23
96419.0390625,114529.171875,55173,35611.6796875,107744.1953125,21661,6848.08397972446,605.200012207031,1142.23999023438,53811.6015625,A,24,A24
113053.140625,118274.203125,62643,38318.796875,111900.03125,22442,5528.96664426089,583.100036621094,1201.19995117188,54041.30078125,C,24,C24
106758.171875,105860.0703125,66092,47625.7578125,117329.578125,26602,3541.71455200785,2267.80004882812,1138.71997070312,54257,C,23,C23
104044.5546875,102100.265625,66784,55032.63671875,113337.28125,31822,4537.15385851321,1000.45001220703,1087.68005371094,54495.19921875,C,22,C22
122110.671875,110858.3828125,72188,58088.15625,115307.1484375,33015,191.795381714854,354.450012207031,188.31999206543,54671.30078125,B,22,B22
105953.609375,115975.078125,59873,94132.4765625,121682.640625,50698,203.231318556797,386.75,300.079986572266,54926.6015625,B,21,B21
95621.6015625,101444.90625,61774,58005.99609375,107086.9921875,35499,155.703183081568,451.350006103516,190.080001831055,55135.19921875,B,20,B20
118996.5546875,119045.609375,65509,93262,128690.3359375,47494,202.343075480948,452.200012207031,719.839965820312,55366.30078125,B,19,B19
100427.6015625,109545.84375,60081,93449.1953125,117508.078125,52118,187.377092613101,499.800018310547,460.239990234375,55558.19921875,B,18,B18
79035.5625,96462.9609375,53696,39871.51953125,107544.9765625,24297,709.267664469219,97.75,255.199996948242,55759.5,C,18,C18
103384.1796875,106877.3984375,63394,63594.95703125,120417.1953125,34611,1127.2691163673,86.7000045776367,525.359985351562,55951,C,19,C19
93584.390625,98394.8359375,62332,55376.87890625,102161.3359375,35524,981.189527235647,83.3000030517578,327.359985351562,56181.19921875,C,20,C20
118744.6875,114630.7421875,67888,53053.51953125,122306.0234375,28428,7078.64568982696,588.200012207031,1703.67993164062,56371.19921875,C,21,C21
116056,116984.2265625,65016,60257.59765625,127590.125,30951,290.35794702068,334.050018310547,44,56560.8984375,D,21,D21
115386.71875,118699.4140625,63707,76908,112865.6796875,44657,213.778156404586,491.300018310547,492.799987792969,56774,D,20,D20
95173.9296875,110887.640625,56249,70221.8359375,118031.7578125,38990,157.474426744693,362.100006103516,733.919982910156,56989.1015625,D,19,D19
118546.21875,123093.484375,63115,73120.3203125,117835.4296875,40667,180.320928652911,628.150024414062,465.519989013672,57242.5,D,18,D18
96119.109375,96076.5859375,65565,44735.59765625,104751.75,27988,1733.59505406865,39.1000022888184,455.839996337891,57401.8984375,E,18,E18
89283.015625,94141.1953125,62154,48750,97099.96875,32903,121.41946045587,163.200012207031,158.399993896484,57599.1015625,E,19,E19
103922.625,101976.03125,66787,52637.51953125,109910.546875,31386,1340.23485473799,40.8000030517578,198,57831.8984375,E,20,E20
105729.328125,104237.4140625,66474,58765.19921875,105067.1484375,36655,4633.04377665428,1242.70007324219,1629.76000976562,57992.1015625,E,21,E21
110315.5,105231.828125,68702,42576.55859375,101439.5390625,27507,5240.32073011375,629,1124.64001464844,58282,E,22,E22
115973.2265625,118784.421875,63985,78612.5546875,117659.40625,43787,170.675493587935,353.600006103516,235.839996337891,58478.30078125,D,22,D22
112976.6015625,117195.09375,63177,58674.71875,119426.875,32198,5352.01818117428,1127.95007324219,1120.23999023438,58685.6015625,E,23,E23
130804.1875,128768.6015625,66572,75290.796875,124782.0859375,39543,6368.49062240518,551.650024414062,1424.71997070312,58940.6015625,E,24,E24
108841.65625,107537.1484375,66331,48247.6796875,111955.5234375,28243,2994.56756767152,574.600036621094,704,59194.8984375,G,24,G24
96769.6953125,99082.8828125,64006,56763.19921875,100424.7265625,37043,6008.90258311446,4905.35009765625,1421.19995117188,59402.69921875,G,23,G23
131271.4375,122780.796875,70068,75744.234375,128563.734375,38611,8258.72780075554,572.049987792969,1620.07995605469,59622.6015625,G,22,G22
